Address,Sold Price,Type,Year built,Heating,Cooling,Parking,Bedrooms,Bathrooms,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Appliances included,Laundry features,Tax assessed value,Annual tax amount,City
11822 Avalon Blvd,904000.0,MultiFamily,1906.0,Wall Furnace,,Covered,7,3.0,One Hundred Sixteenth Street Elementary School,4.0,0.3,Samuel Gompers Middle School,2.0,0.5,,,,,"Gas Dryer Hookup, Washer Hookup",,,Los Angeles
2112 Outpost Dr,1850000.0,SingleFamily,1978.0,Central,,Garage Door Opener,3,4.0,Selma Avenue Elementary School,4.0,0.9,Hubert Howe Bancroft Middle School,3.0,1.4,Hollywood Senior High School,6.0,0.7,"Dishwasher, Washer, Dryer",,1475032.0,18260.0,Los Angeles
4047 Camero Ave,970000.0,SingleFamily,1924.0,Wall Furnace,,"Direct Access, Garage - Single Door, Garage - Two Door",3,2.0,Franklin Avenue Elementary School,8.0,0.4,Thomas Starr King Middle School,6.0,0.3,John Marshall Senior High School,8.0,0.5,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",In Kitchen,339159.0,4252.0,Los Angeles
1229 Stanford St APT 6,1050000.0,Condo,1981.0,Central,,Garage - Two Door,2,3.0,McKinley Elementary School,8.0,0.5,Lincoln Middle School,8.0,1.2,Santa Monica High School,8.0,1.9,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",,335060.0,4436.0,Los Angeles
500 Museum Dr,671000.0,SingleFamily,1923.0,,,Garage - Single Door,2,1.0,Mt. Washington Elementary School,7.0,0.4,,,,Benjamin Franklin Senior High School,7.0,1.0,"Dishwasher, Refrigerator",Inside,196564.0,2404.0,Los Angeles
12815 Caswell Ave #101,1210000.0,Condo,1981.0,Central,Central Air,Community Structure,3,4.0,Beethoven Street Elementary School,7.0,0.4,Mark Twain Middle School and World Languages Magnet,4.0,0.6,Venice Senior High School,6.0,0.3,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Laundry Room,1128833.0,13734.0,Los Angeles
1434 Greenfield Ave APT 304,821000.0,Condo,1974.0,Central,Central Air,"Community Structure, Garage Door Opener, Tandem",2,2.0,Fairburn Avenue Elementary School,9.0,0.9,,,,University Senior High School Charter,6.0,1.1,"Dishwasher, Disposal, Electric Cooktop",In Kitchen,348105.0,4352.0,Los Angeles
4638 2nd Ave,689000.0,SingleFamily,1915.0,Central,,Driveway,3,2.0,Forty-Second Street Elementary School,2.0,0.4,Audubon Middle School,2.0,0.8,,,,"Disposal, Dryer",Outside,295062.0,3932.0,Los Angeles
10336 Wilshire Blvd APT 401,765500.0,Apartment,1994.0,Forced air,Central,"Garage - Attached, Covered",3,3.0,Fairburn Avenue Elementary School,9.0,0.6,,,,University Senior High School Charter,6.0,2.6,"Dishwasher, Dryer, Freezer, Garbage disposal, Washer",,1102823.0,13304.0,Los Angeles
1234 Wilshire Blvd APT 225,490000.0,Condo,2006.0,Central,Central Air,"Assigned, Gated",1,1.0,Esperanza Elementary School,2.0,0.4,John H. Liechty Middle School,3.0,0.3,Belmont Senior High School,3.0,0.6,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",,277932.0,3418.0,Los Angeles
1001 Bel Air Rd,16000000.0,SingleFamily,1955.0,Central,,"Driveway, Circular Driveway, Covered",4,5.0,Warner Avenue Elementary School,9.0,1.6,,,,University Senior High School Charter,6.0,3.2,"Dishwasher, Refrigerator",Laundry Room,21216000.0,255949.0,Los Angeles
148 W 83rd St,455000.0,SingleFamily,1912.0,,,,3,2.0,Dr. Owen Lloyd Knox Elementary School,2.0,0.5,Mary Mcleod Bethune Middle School,2.0,0.9,John C. Fremont Senior High School,3.0,0.6,,Washer Hookup,28629.0,546.0,Los Angeles
3255 Mandeville Canyon Rd,1950000.0,SingleFamily,1956.0,Central,Central Air,"Direct Access, Driveway",3,2.0,Kenter Canyon Elementary School,9.0,2.2,Paul Revere Middle School,7.0,2.9,Palisades Charter High School,8.0,3.8,,Laundry Room,854768.0,10577.0,Los Angeles
534 N Avenue 53,1020000.0,SingleFamily,1917.0,Forced Air,Central Air,"Concrete, Driveway, Driveway Down Slope From Street, Garage, Garage - Two Door, Garage Faces Front, Off Street",4,1.0,Aldama Elementary School,3.0,0.4,,,,Benjamin Franklin Senior High School,7.0,0.3,"Electric Range, Gas Water Heater, Water Heater, Water Purifier","Gas Dryer Hookup, Inside, Laundry Chute, Washer Hookup",444777.0,5519.0,Los Angeles
4250 Eugene St,505000.0,SingleFamily,1916.0,"Electric, Gas",Wall/Window Unit(s),0 spaces,2,1.0,Marianna Avenue Elementary School,6.0,0.1,Belvedere Middle School,4.0,0.5,,,,Range / Oven,Outside,224247.0,3443.0,Los Angeles
10777 Wilshire Blvd #608,1250000.0,Condo,2018.0,Central,,"Community Structure, Controlled Entrance, Guest, Underground, Valet",1,2.0,Warner Avenue Elementary School,9.0,0.7,,,,University Senior High School Charter,6.0,1.7,"Microwave, Refrigerator",,,,Los Angeles
447 W 92nd St,515000.0,SingleFamily,1940.0,Forced Air,Central Air,"Driveway, Asphalt, Garage Faces Front, Garage - Single Door",3,2.0,,,,Bret Harte Preparatory Middle School,2.0,0.3,Alliance Judy Ivie Burton Technology Academy High School,8.0,0.6,"Built-In Range, Gas Water Heater","Gas & Electric Dryer Hookup, Laundry Room, Washer Hookup",75196.0,1079.0,Los Angeles
1746 Middleton Pl,585000.0,SingleFamily,1912.0,,,Garage,3,1.0,,,,,,,,,,,Laundry Room,489546.0,6119.0,Los Angeles
3612 Kalsman Dr UNIT 1,415000.0,Condo,1949.0,Central,,"Detached Carport, Garage - Single Door",1,1.0,Baldwin Hills Elementary School,6.0,0.6,Audubon Middle School,2.0,2.9,Susan Miller Dorsey Senior High School,2.0,1.8,"Dishwasher, Refrigerator",Community,194742.0,2478.0,Los Angeles
1115 S Elm Dr APT 411,735000.0,Condo,1972.0,Central,Central Air,"Controlled Entrance, Community Structure, Tandem",2,2.0,Canfield Avenue Elementary School,7.0,0.5,Palms Middle School,7.0,2.5,Alexander Hamilton Senior High School,6.0,1.4,"Dishwasher, Disposal, Microwave, Refrigerator",Community,692754.0,8422.0,Los Angeles
462 E 32nd St #2,580000.0,MultiFamily,1903.0,Wall Gas,,Covered,5,2.0,Dolores Huerta Elementary School,5.0,0.1,John Adams Middle School,4.0,0.5,,,,,,,,Los Angeles
2465 N Gower St,1300000.0,SingleFamily,1925.0,Central,"Central Air, Dual",Garage - Attached,4,3.0,Cheremoya Avenue Elementary School,6.0,0.6,Joseph Le Conte Middle School,3.0,1.3,Hollywood Senior High School,6.0,1.5,"Dishwasher, Freezer, Gas Cooktop, Gas Oven, Refrigerator",Laundry Room,1164602.0,14257.0,Los Angeles
2939 Leeward Ave #206,745000.0,Condo,2019.0,Central,Central Air,Assigned,2,2.0,Hoover Street Elementary School,8.0,0.2,,,,,,,"Dishwasher, Disposal, Gas Cooktop, Gas Range, Oven",,,,Los Angeles
585 N Beachwood Dr,1487000.0,SingleFamily,1923.0,Central,Central Air,"On Street, Garage - Two Door",2,2.0,Van Ness Avenue Elementary School,6.0,0.4,Hubert Howe Bancroft Middle School,3.0,1.0,Fairfax Senior High School,7.0,2.4,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Inside,1007679.0,12424.0,Los Angeles
9821 Cimarron St,675000.0,SingleFamily,1947.0,Central,Central Air,"Driveway, Concrete, Garage, Garage Door Opener",2,2.0,Manhattan Place Elementary School,1.0,0.3,Animo Charter Middle No. 3,4.0,1.7,George Washington Preparatory High School,2.0,1.0,"Dishwasher, Disposal, Gas Range, Microwave",In Garage,247053.0,3341.0,Los Angeles
4202 Division St,695000.0,SingleFamily,1948.0,,Central Air,"Direct Access, Garage - Single Door",2,1.0,Mt. Washington Elementary School,7.0,0.7,,,,Benjamin Franklin Senior High School,7.0,1.4,"Gas Oven, Gas Water Heater",Laundry Room,213564.0,9033.0,Los Angeles
135 S Swall Dr UNIT 202,1000000.0,Condo,2009.0,"Central, Forced Air",Central Air,"Community Structure, Controlled Entrance, Auto Driveway Gate, Assigned, Underground, Guest",2,3.0,"Rosewood Avenue Elementary School, School for Advanced Studies",4.0,0.8,John Burroughs Middle School,7.0,3.1,Fairfax Senior High School,7.0,1.7,"Dishwasher, Disposal, Microwave","Stackable, Laundry Closet",860780.0,10489.0,Los Angeles
3541 May St,1375000.0,SingleFamily,1950.0,Floor Furnace,,"Driveway, Garage",3,1.0,Beethoven Street Elementary School,7.0,0.2,Mark Twain Middle School and World Languages Magnet,4.0,0.5,Venice Senior High School,6.0,0.5,,In Kitchen,376857.0,4725.0,Los Angeles
3638 8th Ave,730000.0,SingleFamily,1906.0,Wall Furnace,,"Driveway, Garage - Single Door",3,3.0,Sixth Avenue Elementary School,3.0,0.3,Audubon Middle School,2.0,0.8,Susan Miller Dorsey Senior High School,2.0,1.3,Dishwasher,In Kitchen,520038.0,6529.0,Los Angeles
2491 Ivan Hill Ter,750000.0,SingleFamily,1931.0,,,Garage - Attached,2,1.0,Ivanhoe Elementary School,9.0,0.6,Thomas Starr King Middle School,6.0,1.4,John Marshall Senior High School,8.0,1.1,,,58443.0,790.0,Los Angeles
671 Moreno Ave,9450000.0,SingleFamily,1997.0,Central,Central Air,"Direct Access, Garage Door Opener, Private, Side By Side",6,6.0,,,,,,,,,,"Dishwasher, Disposal, Refrigerator","Inside, Laundry Room",7421465.0,89808.0,Los Angeles
355 W 124th St,159659.0,SingleFamily,1975.0,Forced air,Central,0 spaces,4,2.0,One Hundred Twenty-Second Street Elementary School,6.0,0.8,Samuel Gompers Middle School,2.0,1.0,Gardena Senior High School,3.0,3.5,,Garage,474000.0,5515.0,Los Angeles
3750 Santa Rosalia Dr APT 207,569900.0,Condo,2007.0,Central,Central Air,"Community Structure, Controlled Entrance, Side By Side, Assigned",2,2.0,Hillcrest Drive Elementary School,3.0,0.7,Audubon Middle School,2.0,0.6,Susan Miller Dorsey Senior High School,2.0,1.0,"Dishwasher, Disposal, Microwave, Refrigerator",Laundry Closet,374863.0,4611.0,Los Angeles
12414 Rochedale Ln,3604375.0,SingleFamily,1950.0,,,Carport,4,3.0,Kenter Canyon Elementary School,9.0,0.2,Paul Revere Middle School,7.0,1.3,Palisades Charter High School,8.0,3.3,"Barbecue, Dishwasher, Disposal, Refrigerator",Inside,2553447.0,31014.0,Los Angeles
2415 Nalin Dr,3125000.0,SingleFamily,1965.0,Central,Central Air,"Driveway, Garage",4,5.0,Roscomare Road Elementary School,9.0,0.2,,,,University Senior High School Charter,6.0,4.7,"Dishwasher, Gas Range, Microwave, Range Hood, Refrigerator",Laundry Room,1352520.0,16800.0,Los Angeles
10751 Wilshire Blvd APT 604,584000.0,Condo,1972.0,Central,,Assigned,1,2.0,Warner Avenue Elementary School,9.0,0.7,,,,University Senior High School Charter,6.0,1.7,"Microwave, Electric Cooktop",Community,404839.0,4948.0,Los Angeles
1976 N New Hampshire Ave,1312500.0,SingleFamily,1922.0,Central,Central Air,"Gated, Garage - Single Door",3,2.0,,,,Thomas Starr King Middle School,6.0,1.0,John Marshall Senior High School,8.0,1.0,,Laundry Room,103055.0,1564.0,Los Angeles
618 N Harper Ave,3500000.0,SingleFamily,2008.0,Central,Central Air,"Garage - Two Door, Private, Direct Access, Garage Door Opener, Driveway, Guest",4,5.0,"Rosewood Avenue Elementary School, School for Advanced Studies",4.0,0.4,Hubert Howe Bancroft Middle School,3.0,2.0,Fairfax Senior High School,7.0,0.5,"Barbecue, Dishwasher, Disposal, Refrigerator, Gas Cooktop, Double Oven, Microwave, Oven, Range Hood, Washer, Dryer","Upper Level, Inside, Laundry Closet",3139624.0,38139.0,Los Angeles
12951 Rubens Ave,2510000.0,SingleFamily,2020.0,Central,Central Air,Garage - Two Door,4,5.0,Short Avenue Elementary School,6.0,0.4,Marina Del Rey Middle School,2.0,0.6,Venice Senior High School,6.0,1.2,"Dishwasher, Microwave, Refrigerator, Washer",Laundry Room,1096500.0,13409.0,Los Angeles
4250 N Eugene St,505000.0,SingleFamily,1916.0,,Wall/Window Unit(s),Driveway,2,1.0,Marianna Avenue Elementary School,6.0,0.1,Belvedere Middle School,4.0,0.5,,,,Gas Range,Outside,,,Los Angeles
1053 Stearns Dr,1950000.0,SingleFamily,1926.0,Central,Central Air,"Driveway, Tandem",3,3.0,Carthay Center Elementary,5.0,0.1,,,,Fairfax Senior High School,7.0,1.7,"Dishwasher, Microwave, Refrigerator, Washer, Dryer","Laundry Closet, In Kitchen, Stackable",1294628.0,15750.0,Los Angeles
1520 E 56th St,440000.0,SingleFamily,1910.0,Natural Gas,,,2,1.0,Hooper Avenue Elementary School,2.0,0.5,Los Angeles Academy Middle,3.0,1.1,,,,,"Inside, Washer Hookup",300005.0,3713.0,Los Angeles
2854 Angelo Dr,1750000.0,SingleFamily,1969.0,Central,Central Air,Garage - Two Door,4,3.0,Roscomare Road Elementary School,9.0,1.4,,,,University Senior High School Charter,6.0,5.1,"Dishwasher, Disposal",Laundry Room,,,Los Angeles
1240 1/2 Gordon St,1051500.0,SingleFamily,2017.0,Central,Central Air,Garage - Two Door,3,4.0,Vine Street Elementary School,2.0,0.6,Joseph Le Conte Middle School,3.0,0.1,,,,"Dishwasher, Disposal, Refrigerator, Washer, Dryer","Inside, Laundry Room",1039359.0,12648.0,Los Angeles
10430 Wilshire Blvd APT 1904,2362500.0,Condo,1982.0,Central,Central Air,"Community Structure, Controlled Entrance, Covered",2,3.0,Fairburn Avenue Elementary School,9.0,0.4,,,,University Senior High School Charter,6.0,2.3,Dishwasher,Laundry Room,1837600.0,22174.0,Los Angeles
845 Sayre Ln,920000.0,SingleFamily,1925.0,Central,,"Garage - Single Door, Driveway",2,1.0,Micheltorena Street Elementary School,5.0,0.4,Thomas Starr King Middle School,6.0,0.9,John Marshall Senior High School,8.0,1.6,"Disposal, Refrigerator, Gas Range, Washer, Dryer",Inside,648515.0,7883.0,Los Angeles
10966 Rochester Ave UNIT 1C,750000.0,Condo,1973.0,Central,Central Air,"Assigned, Tandem",2,2.0,Warner Avenue Elementary School,9.0,0.3,,,,University Senior High School Charter,6.0,2.0,"Dishwasher, Refrigerator, Washer, Dryer",In Kitchen,547308.0,6593.0,Los Angeles
3712 S Muirfield Rd,1300000.0,SingleFamily,1945.0,Central,Central Air,"Concrete, Side By Side, Private, Garage - Two Door",3,2.0,Coliseum Street Elementary School,2.0,0.2,Audubon Middle School,2.0,1.0,Susan Miller Dorsey Senior High School,2.0,0.3,"Dishwasher, Disposal, Microwave, Refrigerator, Gas Cooktop, Electric Oven, Washer, Dryer",Laundry Room,1217000.0,14890.0,Los Angeles
1706 Roxbury Dr,3850000.0,SingleFamily,1953.0,Central,,"Driveway, Garage - Two Door",4,3.0,Canfield Avenue Elementary School,7.0,0.7,Palms Middle School,7.0,1.9,Alexander Hamilton Senior High School,6.0,1.2,"Dishwasher, Microwave, Vented Exhaust Fan",,3475000.0,42114.0,Los Angeles
1723 W 79th St,570000.0,SingleFamily,1927.0,,,Garage,3,1.0,Raymond Avenue Elementary School,3.0,0.7,John Muir Middle School,2.0,1.5,George Washington Preparatory High School,2.0,1.9,,"Electric Dryer Hookup, Gas Dryer Hookup, Laundry Room, Washer Hookup",209166.0,2705.0,Los Angeles
1342 Stanford St APT 2,1269000.0,Townhouse,1981.0,Central,Central Air,"Private, Garage - Two Door",3,3.0,McKinley Elementary School,8.0,0.5,Lincoln Middle School,8.0,1.3,Santa Monica High School,8.0,1.8,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",,1066410.0,13057.0,Los Angeles
4482 Tuttle St,685000.0,SingleFamily,1925.0,,Wall/Window Unit(s),RV Access/Parking,4,2.0,Ford Boulevard Elementary School,5.0,0.3,Robert Louis Stevenson Middle School,3.0,1.3,,,,,"Inside, Outside",252064.0,3558.0,Los Angeles
2228 Cloverfield Blvd,3550000.0,SingleFamily,2020.0,Central,,"Driveway, Garage - Two Door",6,6.0,Grant Elementary School,8.0,0.2,John Adams Middle School,6.0,0.6,Santa Monica High School,8.0,1.4,"Microwave, Refrigerator",Inside,1601400.0,27640.0,Los Angeles
357 N Hayworth Ave APT 304,880000.0,Condo,2007.0,Central,Central Air,"Community Structure, Controlled Entrance, Gated, Tandem",2,2.0,Laurel Elementary School,3.0,0.6,,,,Fairfax Senior High School,7.0,0.4,"Dishwasher, Microwave, Washer, Dryer",Laundry Closet,853676.0,10383.0,Los Angeles
118 S Hobart Blvd,980000.0,SingleFamily,1913.0,Forced Air,"Wall Unit(s), Wall/Window","Garage, Covered",2,1.0,Cahuenga Elementary School,5.0,0.2,,,,,,,,In Unit,243018.0,3170.0,Los Angeles
217 W 71st St,545000.0,SingleFamily,1924.0,Floor Furnace,,"Driveway, On Street, Tandem",3,2.0,Sixty-Eighth Street Elementary School,4.0,0.5,Mary Mcleod Bethune Middle School,2.0,0.1,Augustus F. Hawkins High A Critical Design And Gaming,2.0,0.9,"Refrigerator, Oven, Washer, Dryer",,230822.0,3051.0,Los Angeles
6140 Monterey Rd APT 415,497000.0,Condo,1989.0,Central,Central Air,"Gated, Parking Space",2,2.0,Bushnell Way Elementary School,1.0,0.5,,,,Benjamin Franklin Senior High School,7.0,1.2,"Dryer, Washer",In Kitchen,283259.0,3438.0,Los Angeles
4197 Holly Knoll Dr,1190000.0,SingleFamily,1924.0,,,"Driveway, Garage - Two Door",2,2.0,Franklin Avenue Elementary School,8.0,0.2,Thomas Starr King Middle School,6.0,0.6,John Marshall Senior High School,8.0,0.3,"Dishwasher, Refrigerator","Electric Dryer Hookup, Washer Hookup",278659.0,3707.0,Los Angeles
5326 S Sherbourne Dr,1934000.0,SingleFamily,1960.0,,,Garage - Two Door,7,4.0,,,,,,,Inglewood High School,2.0,2.3,,,1402003.0,16741.0,Los Angeles
823 E 83rd St,410000.0,SingleFamily,1929.0,,,Garage,2,1.0,Mckinley Avenue Elementary School,3.0,0.2,Charles Drew Middle School,1.0,0.8,,,,,See Remarks,163834.0,2208.0,Los Angeles
210 S La Fayette Park Pl APT 207,320000.0,Condo,1970.0,,,Assigned,1,1.0,Commonwealth Avenue Elementary School,5.0,0.5,Virgil Middle School,5.0,0.8,Belmont Senior High School,3.0,1.1,Disposal,Community,243544.0,2909.0,Los Angeles
4952 Genevieve Ave,873500.0,SingleFamily,1930.0,Central,Central Air,"Garage - Single Door, Driveway - Combination",3,2.0,Rockdale Elementary School,6.0,0.3,,,,Eagle Rock High School,7.0,0.9,"Dishwasher, Refrigerator, Washer, Dryer","Inside, Laundry Room",672188.0,8264.0,Los Angeles
969 Larker Ave,1299900.0,SingleFamily,1961.0,Central,Central Air,"Driveway, Garage",4,3.0,San Pascual Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet,6.0,0.3,,,,Benjamin Franklin Senior High School,7.0,1.8,"6 Burner Stove, Disposal, Gas Range, Microwave, Refrigerator","Gas Dryer Hookup, Laundry Closet, Inside, Stackable, Washer Hookup",400517.0,5203.0,Los Angeles
900 S Harvard Blvd APT 502,593000.0,Condo,2005.0,Central,Central Air,Auto Driveway Gate,3,2.0,Hobart Boulevard Elementary School,3.0,0.2,,,,,,,"Dishwasher, Dryer",Laundry Closet,511004.0,6253.0,Los Angeles
2321 Highbury Ave APT 56,405000.0,Condo,1982.0,Central,Central Air,Tandem,2,2.0,Multnomah Street Elementary School,6.0,1.9,El Sereno Middle School,5.0,1.0,Woodrow Wilson Senior High School,4.0,1.5,"Dishwasher, Gas Range, Refrigerator, Water Heater","Inside, Stackable",125359.0,1645.0,Los Angeles
4555 Franklin Ave APT 6,895000.0,Condo,1982.0,Central,Central Air,"Assigned, Community Structure, Covered, Garage Door Opener, Garage - Two Door, Guest",3,2.0,,,,Thomas Starr King Middle School,6.0,0.8,John Marshall Senior High School,8.0,0.8,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",Inside,805800.0,9739.0,Los Angeles
1625 Granville Ave APT 304,1075000.0,Condo,2010.0,Central,Central Air,"Assigned, Guest, Gated, Community Structure, Controlled Entrance, Covered, Garage Door Opener, Private, Tandem",3,3.0,Brockton Avenue Elementary School,5.0,0.4,Daniel Webster Middle School,3.0,1.5,University Senior High School Charter,6.0,0.4,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Stackable,923249.0,11223.0,Los Angeles
1773 S Corning St,1650000.0,SingleFamily,1938.0,Central,Central Air,"Driveway, Concrete, Garage, Garage - Single Door, Garage Door Opener, Gated",3,2.0,Crescent Heights Boulevard Elementary School,4.0,0.3,,,,Alexander Hamilton Senior High School,6.0,1.0,"6 Burner Stove, Dishwasher, Free-Standing Range, Disposal, Range Hood, Refrigerator, Tankless Water Heater, Water Purifier","Gas Dryer Hookup, Inside, Washer Hookup",702668.0,8737.0,Los Angeles
10326 Almayo Ave APT 102,920000.0,Condo,1988.0,Central,Central Air,Assigned,2,2.0,Westwood Charter Elementary School,9.0,1.0,,,,University Senior High School Charter,6.0,2.9,"Dryer, Washer",Inside,885000.0,10769.0,Los Angeles
415 Kendall Ave,1082000.0,SingleFamily,1903.0,Central,Central Air,,3,2.0,Bushnell Way Elementary School,1.0,0.1,,,,Benjamin Franklin Senior High School,7.0,1.1,"Dishwasher, Disposal",Stackable,941290.0,11505.0,Los Angeles
4568 W 1st St APT 304,785000.0,Condo,2003.0,Central,Central Air,"Assigned, Covered",2,2.0,Charles H. Kim Elementary School,6.0,0.2,John Burroughs Middle School,7.0,1.7,,,,Microwave,Laundry Closet,493189.0,6067.0,Los Angeles
6530 W 84th Pl,1840000.0,SingleFamily,1944.0,Central,Central Air,Garage - Two Door,3,3.0,Kentwood Elementary School,6.0,0.1,,,,,,,"Dishwasher, Refrigerator, Gas Oven, Convection Oven, Range, Range Hood",Inside,923100.0,11397.0,Los Angeles
2523 W Avenue 35,645000.0,SingleFamily,1921.0,,,"Covered, Driveway, Driveway Up Slope From Street, Garage, Garage - Two Door, Garage Faces Front",3,2.0,Glassell Park Elementary School,4.0,0.5,,,,,,,"Dishwasher, Free-Standing Range, Gas Oven, Gas Range, Gas Water Heater, Ice Maker, Refrigerator, Water Line to Refrigerator, Dryer, Washer","Gas Dryer Hookup, Laundry Room, Inside, Washer Hookup",226775.0,2868.0,Los Angeles
1222 N Avenue 49,785000.0,MultiFamily,1940.0,Wall Furnace,Wall/Window Unit(s),Direct Access,3,2.0,Buchanan Street Elementary School,5.0,0.2,,,,Benjamin Franklin Senior High School,7.0,0.7,"Gas Oven, Gas Range, Gas Cooktop, Gas Water Heater, Refrigerator, Dryer, Washer","Gas Dryer Hookup, Laundry Closet, Washer Hookup",581296.0,7138.0,Los Angeles
3460 S Centinela Ave APT 502,902777.0,Condo,1990.0,Central,Central Air,"Assigned, Community Structure, Controlled Entrance, Covered, Garage Door Opener, Direct Access, Garage - Two Door, Gated, Guest, Parking Space, Side By Side",2,3.0,Mar Vista Elementary School,8.0,0.4,,,,Venice Senior High School,6.0,0.9,"Dishwasher, Disposal, Refrigerator, Washer, Dryer","Inside, Laundry Closet",245700.0,3022.0,Los Angeles
219 S Mapleton Dr,26150000.0,SingleFamily,1937.0,Central,Central Air,"Garage - Three Door, Guest",9,9.0,Warner Avenue Elementary School,9.0,0.6,,,,University Senior High School Charter,6.0,2.8,"Barbecue, Dishwasher, Microwave, Refrigerator, Trash Compactor, Washer, Dryer",Laundry Room,13371220.0,161892.0,Los Angeles
474 S Holt Ave,1750000.0,SingleFamily,1925.0,Central,Central Air,"Detached Carport, Garage",3,3.0,"Rosewood Avenue Elementary School, School for Advanced Studies",4.0,0.7,John Burroughs Middle School,7.0,2.6,Fairfax Senior High School,7.0,1.4,"Dishwasher, Disposal, Refrigerator",Inside,1238575.0,15105.0,Los Angeles
4107 Zamora St,375000.0,SingleFamily,1915.0,,See Remarks,"None, On Street",2,2.0,Wadsworth Avenue Elementary School,3.0,0.3,,,,,,,,In Kitchen,317321.0,3940.0,Los Angeles
4589 Via Marisol UNIT 360,435000.0,Condo,1981.0,,,Garage,2,1.0,Bushnell Way Elementary School,1.0,0.4,,,,Benjamin Franklin Senior High School,7.0,1.5,"Dishwasher, Electric Range, Microwave, Refrigerator",Community,269103.0,3295.0,Los Angeles
2864 Sunset Pl APT 405,565000.0,Condo,2006.0,Central,Central Air,"Assigned, Controlled Entrance, Gated, Structure, Tandem",2,3.0,Hoover Street Elementary School,8.0,0.3,Berendo Middle School,3.0,0.9,Belmont Senior High School,3.0,1.4,"Dishwasher, Free-Standing Range, Disposal, Gas Oven, Gas Range, Microwave, Refrigerator, Tankless Water Heater","Laundry Closet, Inside",377197.0,4631.0,Los Angeles
1865 Rodney Dr,950000.0,SingleFamily,1909.0,Central,Central Air,,3,1.0,,,,Thomas Starr King Middle School,6.0,0.8,John Marshall Senior High School,8.0,0.8,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",Laundry Room,1052640.0,12791.0,Los Angeles
220 S Avenue 60,906000.0,SingleFamily,1894.0,,Central Air,"Carport, Covered, Detached Carport, Driveway, Garage",3,1.0,,,,,,,Benjamin Franklin Senior High School,7.0,0.8,"Gas Range, Refrigerator",Inside,174866.0,2345.0,Los Angeles
11612 Idaho Ave APT 301,933000.0,Condo,2003.0,Central,Central Air,"Tandem, Underground, Controlled Entrance",2,3.0,Nora Sterry Elementary School,7.0,0.3,Daniel Webster Middle School,3.0,1.4,University Senior High School Charter,6.0,0.5,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",,784062.0,9550.0,Los Angeles
6054 Meridian St,1114000.0,SingleFamily,1925.0,"Fireplace(s), Central",Central Air,"Auto Driveway Gate, Detached Carport, Covered, Driveway, Gated, Parking Space",3,3.0,Garvanza Elementary School,7.0,0.3,,,,Benjamin Franklin Senior High School,7.0,0.8,"Dishwasher, Disposal, Microwave, Refrigerator, Gas Oven, Range Hood, Self Cleaning Oven, Gas Cooktop","Inside, Laundry Room",652000.0,8033.0,Los Angeles
13219 Jonesboro Pl,3383000.0,SingleFamily,1953.0,"Central, Fireplace(s)",Central Air,"Covered, Garage - Two Door",3,3.0,Kenter Canyon Elementary School,9.0,1.3,Paul Revere Middle School,7.0,0.2,Palisades Charter High School,8.0,2.1,"Dishwasher, Refrigerator","Inside, Laundry Room",1435484.0,17587.0,Los Angeles
1335 N Ogden Dr,1616000.0,SingleFamily,1919.0,Central,Central Air,"Garage Door Opener, Driveway, Garage - Single Door",2,2.0,Gardner Street Elementary School,7.0,0.5,Hubert Howe Bancroft Middle School,3.0,1.5,Fairfax Senior High School,7.0,0.8,"Dishwasher, Disposal, Refrigerator, Washer, Dryer","Inside, In Kitchen",690886.0,8535.0,Los Angeles
5104 Miriam St,660000.0,SingleFamily,1920.0,,,Garage,1,0.0,Buchanan Street Elementary School,5.0,0.3,,,,Benjamin Franklin Senior High School,7.0,0.4,,,198126.0,2448.0,Los Angeles
9312 Kirkside Rd,2200000.0,SingleFamily,1940.0,Forced Air,,"Driveway, Attached Carport",2,2.0,Canfield Avenue Elementary School,7.0,0.2,Palms Middle School,7.0,2.2,Alexander Hamilton Senior High School,6.0,0.9,Range,Inside,668265.0,8276.0,Los Angeles
5030 La Calandria Dr,780000.0,SingleFamily,1926.0,Central,Central Air,Garage - Single Door,3,2.0,Farmdale Elementary School,2.0,0.3,El Sereno Middle School,5.0,0.3,Woodrow Wilson Senior High School,4.0,0.7,"Dishwasher, Refrigerator, Range, Microwave",,101874.0,1360.0,Los Angeles
206 E 87th St,515000.0,SingleFamily,1940.0,Wall Furnace,,"Garage - Two Door, Driveway",3,2.0,South Park Elementary School,3.0,0.3,Mary Mcleod Bethune Middle School,2.0,1.2,,,,Microwave,Inside,264148.0,3637.0,Los Angeles
